
  VITE v5.4.19  ready in 148 ms

  ➜  Local:   http://localhost:8080/
  ➜  Network: use --host to expose
5:45:36 PM [vite] page reload js/pages/profile.html
6:00:43 PM [vite] page reload js/pages/profile.html
6:00:43 PM [vite] page reload js/pages/verify-email.html
6:00:43 PM [vite] page reload js/pages/booking.html
6:00:43 PM [vite] page reload js/pages/register.html
6:00:43 PM [vite] page reload js/pages/contact.html
6:00:43 PM [vite] page reload js/pages/login.html
6:00:53 PM [vite] page reload js/pages/profile.html
6:00:53 PM [vite] page reload js/pages/login.html
6:01:11 PM [vite] page reload js/pages/admin.html
6:02:36 PM [vite] page reload js/pages/contact.html
